audio_id,audio_path,transcript,speaker_id,locale,source_original_split,source_project_split,duration_sec,sample_rate,num_channels,source_intent,audio_sha256
10017,data/audio/dev/dd4f1c50ae0ffff484ab19cfe88696a1.wav,cách bạn nấu đậu trắng,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,1.92,48000,1,cooking_recipe,02da1cd3902cb3f3b23553e425233cb14aa5b9ac9699636eb18f65355f851033
10143,data/audio/dev/bda0996b5dcd0d49f567ada29e1da6d9.wav,tôi làm lạnh hộp đựng bánh pie trong bao lâu,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,4.14,48000,1,cooking_recipe,900111b22fc012b1e0b383d1466a5dc937dbf8bb3583a7627658a1759ec785b2
1027,data/audio/dev/595694b9c6559257d252cbb8f46faf48.wav,tôi có thể biết ngày của ngày hôm nay không,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,3.84,48000,1,datetime_query,0f84d54162e4a7226c070bd9a27c34b840bf2f9c0ad531fb430d96f9db858948
10301,data/audio/dev/09d039f51067ff795a212f5e683c8a8a.wav,muốn chơi một game of trivia,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,3.36,48000,1,play_game,f59734fd9cffed0cf00d9b620d927384515a6fdf8102454a5b12a144a07a409d
10551,data/audio/dev/8ae84b760f78edcf07b32a03ba5eda55.wav,có gì trong danh sách việc cần làm của tôi hôm nay,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,4.38,48000,1,lists_query,118a319b2676886573ceb1010a6c0c496c200b6d2ccb1e3ce95ba21e5d0ef052
10929,data/audio/dev/49cd7bd1ab20b7fdfabea86d64f97523.wav,cho tôi danh sách của tôi,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,2.46,48000,1,lists_query,50e871b1f2b7e28bb4538b0e2083873f4a4a453610480666d1938f80a0a1e71a
11617,data/audio/dev/47abfb91eb3de35593c7a3b7de3e2a8d.wav,buổi triển lãm hay buổi biểu diễn nào được lên lịch ở nhà hát lớn,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,5.52,48000,1,recommendation_events,525ecf0d58dfe78d2573be758cd7a1b6e88da3f43767b30a05eb009401aabe43
11624,data/audio/dev/e6a6672c44a6e7fc77a052afe06a4f55.wav,nơi tôi nên đến để ăn đồ ăn mê xi cô trong khu vực,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,5.58,48000,1,recommendation_locations,3eb9f136f64c358a6b7ba29d10fc6db9ee5ff98234eb789c84f513c8354c9334
11654,data/audio/dev/a014de7a1c3a9e9c799a9b089f656b6b.wav,tìm kiếm các nhà hàng trung hoa gần đây,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,3.36,48000,1,recommendation_locations,e502e4f5be528aef785d3bb2340bd8725a5f6280c1ad39f97111d32c59162f31
11740,data/audio/dev/686248823a3bd9bcf8e49017802497fc.wav,rạp phim gần đây,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,2.46,48000,1,recommendation_movies,e47b3fc87882469d619999d78977d9a560b084a0dc7031d15f41dc1b395d2a90
11906,data/audio/dev/6e231ed14898ca5625522df04474c0cd.wav,cho tôi biết về các hoạt động trong khu vực của tôi vào cuối tuần này,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,4.68,48000,1,recommendation_events,2013828e13a5938d3953738ae88638f228da896ec72870866725b77d434d4b3e
12076,data/audio/dev/2ed2ad21a0303e9b08cc8c40dea7d093.wav,liệt kê tất cả các cửa hàng gần đây,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,3.72,48000,1,recommendation_locations,2422c454750ac797b3bd10bd787a796ac2ed0d63bae79c31d6ebac7f8dd32dfa
1224,data/audio/dev/249b9cea948fd605b0afa3ef01ea2e38.wav,cập nhật thời tiết buổi trưa thứ hai,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,2.82,48000,1,weather_query,d069314e94196dc765b85721a75e47f2674cbf216969366bf62c8194001cd58e
12247,data/audio/dev/e6274c82d5e9156653e0a5d073e5edc9.wav,vui lòng cho tôi biết lịch trình của bốn chuyến tàu tiếp theo tới sài gòn,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,5.76,48000,1,transport_query,0470574491420ab50394dccc4b3de47b803e8329ac00464626989fbaf64aecc0
12505,data/audio/dev/6c5ac0d8fe86ba64cbdb9ef1b602ba51.wav,chuyến tàu hỏa thống nhất tiếp theo đi hội an là khi nào,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,4.8,48000,1,transport_query,bc385fed08843d244b69e8bc72b83e6e328517179ac483db64f7b379ada452ea
12533,data/audio/dev/7c212a77d5e79b0043b40b0b178e70a0.wav,chỉ tôi đường đến địa điểm,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,2.94,48000,1,transport_query,ae6da81885d98750003684d3d83533b3d4c98a1a6a7089fb5b3906ffd1fb561e
1271,data/audio/dev/62b53f482f81ff478a8d77e3e88b0b87.wav,có gì xảy ra trên thế giới hôm nay,5c9d67af9e01ef000197cd15,vi-VN,validation,SVM,3.3,48000,1,news_query,041b3ed98301d99e581cfe2c30856d263cacacc2fb9e40bb22752f89297e2734
