audio_id,transcript,audio_path,processed_audio_path,head_ok,tail_ok,distortion,overall,comment
15541,gửi tweet đến dominoes về việc vận chuyển tồi tệ,dev/769b58a376a3352244a5aa9bb09c2485.wav,processed/v1/audio/dev/769b58a376a3352244a5aa9bb09c2485.wav,PASS,PASS,PASS,PASS,
9816,tìm phần phát lại này trong sách nói và mở cho tôi,dev/2db1bbcd22149535be37654ec754212c.wav,processed/v1/audio/dev/2db1bbcd22149535be37654ec754212c.wav,PASS,PASS,PASS,PASS,
1545,phát billboard top ten,dev/6da39151fcc4ac9c71fd678d1c717120.wav,processed/v1/audio/dev/6da39151fcc4ac9c71fd678d1c717120.wav,PASS,PASS,PASS,PASS,
1223,cập nhật thời tiết vào thứ ba như thế nào,dev/2fffa18177a7d2091f2633a0151d9a22.wav,processed/v1/audio/dev/2fffa18177a7d2091f2633a0151d9a22.wav,PASS,PASS,PASS,PASS,
14156,tìm trên wikipedia,dev/c01de1acb4a6088004e89e8e60543e16.wav,processed/v1/audio/dev/c01de1acb4a6088004e89e8e60543e16.wav,PASS,PASS,PASS,PASS,
11212,xóa danh sách phát cũ và tạo cái mới,dev/274b58864e722a77181d596393045cd5.wav,processed/v1/audio/dev/274b58864e722a77181d596393045cd5.wav,PASS,PASS,PASS,PASS,
12768,bao nhiêu tiền một vé xe lửa đến hồ chí minh,dev/97a4422c7c31885b6733013409a7daf0.wav,processed/v1/audio/dev/97a4422c7c31885b6733013409a7daf0.wav,PASS,PASS,PASS,PASS,
1215,olly làm cho phòng khách màu xanh dương,dev/c08ddd1c0872b2bed2a6482576178ead.wav,processed/v1/audio/dev/c08ddd1c0872b2bed2a6482576178ead.wav,PASS,PASS,PASS,PASS,
6548,hôm nay là một ngày mệt mỏi,dev/159d8e7a9315d82de810f9af189191fa.wav,processed/v1/audio/dev/159d8e7a9315d82de810f9af189191fa.wav,PASS,PASS,PASS,PASS,
9838,phát sách nói bạch tuyết và bảy chú lùn,dev/e2a86c64fc1f8e55dd8c892bc7952af0.wav,processed/v1/audio/dev/e2a86c64fc1f8e55dd8c892bc7952af0.wav,PASS,PASS,PASS,PASS,
5937,tôi cần áo mưa cho buổi tối,dev/eb4e5836c3bf6ec703105a22687f34df.wav,processed/v1/audio/dev/eb4e5836c3bf6ec703105a22687f34df.wav,PASS,PASS,PASS,PASS,
5666,thời tiết được cập nhật theo giây bằng cách sử dụng thời tiết hoặc cập nhật dự báo từ trung tâm dự báo khí tượng thuỷ văn quốc gia hoặc weathercom đều khá kém đối với trang web của tôi,dev/fa749c13aaf2b13ee4ceef66a2d0e2df.wav,processed/v1/audio/dev/fa749c13aaf2b13ee4ceef66a2d0e2df.wav,PASS,PASS,PASS,PASS,
13185,tính toán khoảng cách từ boston đến new york,dev/b34323d69a5bf6a39dcb7e89f7169a19.wav,processed/v1/audio/dev/b34323d69a5bf6a39dcb7e89f7169a19.wav,PASS,PASS,PASS,PASS,
6259,thời tiết hôm nay có nắng,dev/c123ca71a35d5d46231de8d53d6909e4.wav,processed/v1/audio/dev/c123ca71a35d5d46231de8d53d6909e4.wav,PASS,PASS,PASS,PASS,
3898,sẽ có tuyết rơi vào tuần tới phải không,dev/bf174479dbe2c29ba16376468a71f7c0.wav,processed/v1/audio/dev/bf174479dbe2c29ba16376468a71f7c0.wav,PASS,PASS,PASS,PASS,
616,olly mở bài hát từ danh sách phát của tôi,dev/7eaf0a13865637fd8e7bc610b151f6b4.wav,processed/v1/audio/dev/7eaf0a13865637fd8e7bc610b151f6b4.wav,PASS,PASS,PASS,PASS,
11196,thêm bánh ngọt vào danh sách giáng sinh,dev/d2444be3bdf4eeeef71dfc0207b2443e.wav,processed/v1/audio/dev/d2444be3bdf4eeeef71dfc0207b2443e.wav,PASS,PASS,PASS,PASS,
10666,đọc danh sách,dev/b0fccb95306b4e99de9c54c49f1d4588.wav,processed/v1/audio/dev/b0fccb95306b4e99de9c54c49f1d4588.wav,PASS,PASS,PASS,PASS,
13549,gợi ý cho tôi một vài chỗ để mua thịt bò xay giá rẻ,dev/a04e13d712444a0902704dd5a1e609c4.wav,processed/v1/audio/dev/a04e13d712444a0902704dd5a1e609c4.wav,PASS,PASS,PASS,PASS,
15900,họ của hùng là gì,dev/7b018575e3fb8ee9d4409909ba081c04.wav,processed/v1/audio/dev/7b018575e3fb8ee9d4409909ba081c04.wav,PASS,PASS,PASS,PASS,
